,400212,401225,403187,405780,406141,406716,410359,416279,416343,418224,426330,438042,449123,449774,451957,458836,468232,471279,473249,474171,479213,482110,483410,483477,516529,517617,522865,533004,550507,554398,559699,564156,567151,567173,585284,595607,596233,596651,598662,599933,706271,708842,709732,713360,721247,726261,730968,738048,774246,775125,775943,779255,B02L48,B058TZ,B09CBL,B0C2CQ,B0DJ8Q,B0HZL9,B0NJJ1,B0Z5YZ,B11HK3,B11ZRK,B13X01,B15C55,B164FY,B1FW75,B1HDJL,B1L3CS,B1RR82,B1XH02,B1Y1SQ,B1Y9TB,B1YXBJ,B28DTJ,B39GNW,B3B8D0,B4PH0C,B62G1B,B86S2N,B929F4,BD0Q39,BF0LBX,BF4446,BFYM46,BJ2KSG,BJDS7L,BLRB26,BMD8F9,BNDPYV,BNFWR4,BNG8PQ,BNHKYX,BWT6H8,BYPBS6,BYQ7HZ,BYTBXV,BYWLC6,BYYHL2,BZ1HM4,BZ5739,rendimento,data
0,51.046448,117.67867,23.74717,240.25056,349.53223,1999.5709,3.6322205,126.86099,137.7348,35.65398,18.792675,74.9084,45.3075,87.47368,102.092896,140.8157,166.18791,108.54468,22.194206,137.8556,174.52998,139.66791,90.95329,26.447496,60.04754,18.261942,64.49372,129.57944,579.4527,25.662167,75.82663,20.581686,54.16361,79.48748,56.62833,3.1135316,21.892586,54.91873,41.694935,160.56976,99.193214,28.6585,114.73067,25.651909,136.587,16.473806,77.30064,52.550655,173.49753,42.316288,200.50078,105.47586,21.801,117.75117,35.04988,17.57931,42.24688,103.68772,14.075529,131.08969,6.24883,77.9289,119.24933,63.225105,220.37567,19.228502,8.230258,95.761925,42.72195,100.40141,17.567228,81.05813,118.67819,26.15753,9.617271,14.450071,15.877969,34.4337,53.70449,190.2915,24.170038,79.25792,55.89133,240.31097,101.805954,,57.147858,,54.10319,50.478592,47.953457,88.31942,97.380394,33.944378,58.23524,18.739182,21.282442,99.94231,,16.885803,1284.9812,2018-04-30
1,46.15504,113.58995,22.668966,239.99687,346.74643,1935.3833,3.821856,127.118965,131.49634,36.88668,17.903954,69.50104,46.22508,77.275246,105.2321,129.2201,167.741,96.45399,20.598713,147.8969,163.95259,134.23949,86.12339,25.120295,58.166557,17.188492,59.602337,140.25108,571.62683,23.369345,78.79275,18.005602,56.07709,76.60989,54.64131,2.716307,23.766228,43.02084,40.066097,157.81895,96.90923,24.892672,105.89745,26.31209,136.45737,13.704101,61.936935,50.047985,172.76039,41.20965,169.20012,99.96756,20.005987,119.23969,34.651295,15.799405,43.836594,99.4306,13.3072195,121.691025,6.2743273,75.33754,112.52772,60.75796,208.5965,18.554234,7.234925,108.115326,41.322422,97.72635,15.700186,76.32974,111.84855,24.758432,9.390928,13.750793,15.435286,32.01904,50.660816,195.406,22.942114,87.89769,56.49732,224.76361,98.622246,,55.79694,,51.291157,57.617928,42.909946,96.418976,119.39869,32.33421,58.306637,19.07952,21.805164,93.6408,,14.542223,1224.5677,2018-05-31
2,43.09427,117.05856,21.401192,246.93681,332.9853,1905.4415,3.8797295,128.83914,134.50175,35.435143,19.545053,68.81539,50.06455,77.19841,104.61249,121.77547,163.34024,85.03267,20.508194,129.59805,158.78682,126.27052,83.38642,24.518549,55.29517,16.748505,58.86787,140.106,564.6272,22.755548,78.62281,16.193918,56.345963,80.152306,49.060448,2.7203915,22.311882,42.16607,41.682472,176.65031,99.96563,24.53606,105.45311,26.550842,141.1568,13.350934,62.101982,44.68214,167.30992,41.470356,158.0279,100.432655,19.900862,121.48358,34.75796,15.329931,42.611797,100.549416,13.753738,118.38957,5.986209,73.438896,108.792305,60.957783,226.15442,19.071928,7.096369,109.72635,40.513985,96.15942,14.442594,73.40387,114.31376,26.690193,10.426222,12.965642,16.391834,31.5939,50.449833,198.13324,23.940613,90.018105,57.385082,220.14156,96.30537,,55.458622,,55.622078,56.649525,40.67744,84.413864,109.08948,29.317183,66.78386,18.453129,21.3253,100.99307,550.7917,14.393557,1219.8679,2018-06-29
3,44.00558,124.0253,22.856926,245.12547,349.66946,1848.679,3.9898121,131.57211,128.4715,34.259064,20.196877,63.954933,46.47439,76.94249,106.123535,128.82251,161.4084,88.09307,19.577038,136.66185,172.9547,137.18837,80.54624,25.975111,57.84727,17.10028,63.48691,149.5324,533.5428,23.401,85.95187,17.971968,60.327778,87.016624,51.575806,2.8958738,21.76878,44.590607,43.050392,183.46384,110.780334,25.27308,106.334145,26.585497,147.66031,14.058151,65.13668,44.549656,170.7103,44.174145,158.54178,101.256134,21.89069,124.08381,34.32927,16.16424,41.639805,106.63836,14.976641,125.48786,5.7074122,73.52594,111.997185,65.35899,223.94757,20.58118,7.1958075,110.49953,41.045357,100.6243,14.894736,78.63906,116.47316,25.776203,10.331542,14.163455,16.066671,39.39558,53.646793,214.70418,25.454437,83.307556,58.502502,222.134,104.11983,,57.33245,,54.594532,59.67255,44.251293,90.91288,107.30921,32.193928,66.80985,16.497705,21.75708,101.31464,639.31537,15.329996,1261.5012,2018-07-31
4,44.247906,123.633514,21.12916,240.49544,351.20248,1865.0905,3.8264716,141.19072,128.85762,33.287735,20.424025,64.341545,48.704113,71.2062,114.31387,118.61882,158.23601,86.331696,18.905376,140.43445,169.87102,133.39528,81.724236,26.004225,54.009666,16.230825,62.782455,162.4246,544.518,23.118746,91.63726,17.882996,63.527092,85.73832,50.146847,2.5608633,20.599768,41.001743,43.892746,192.55925,104.38922,25.300308,105.1804,25.721357,144.62306,13.719993,58.84983,43.125126,172.08165,46.15734,129.49756,99.06038,21.661663,130.66106,32.56636,14.695004,40.996735,105.15712,16.416985,125.54165,5.537685,75.51115,112.81296,62.677742,220.25055,20.326344,6.690125,107.80991,40.93193,96.058556,15.014967,78.90857,114.763405,25.759888,9.942107,14.491392,16.776878,38.197704,51.86883,204.35713,24.386957,88.07695,55.89454,210.59349,105.395645,,57.244198,,56.59264,60.9674,42.968052,93.31269,89.829666,30.18119,79.234344,16.515882,22.19958,93.83627,702.75397,13.601314,1231.8323,2018-08-31
5,43.242645,125.65108,19.966187,241.24355,353.79294,1851.431,3.6076148,142.10953,125.90661,32.73107,21.029558,59.79402,46.64584,74.45215,110.63288,119.57642,164.11996,86.53175,19.537535,130.3203,154.79631,134.15326,80.49196,25.750456,51.791286,15.953202,53.40577,149.54314,536.2646,24.11274,89.9001,19.164751,62.34932,88.92444,51.36153,2.638928,18.200706,42.94066,44.66541,188.74374,106.09141,26.888725,104.88345,28.182676,148.03317,14.386338,61.222664,43.14392,167.02371,49.083294,130.66875,93.80274,23.154003,140.19305,34.351364,14.710397,41.454002,105.97525,17.567688,123.932045,6.0000243,72.91897,111.68985,64.85816,225.21484,19.850035,6.787806,108.50733,39.56069,95.26623,14.733627,77.472046,119.63451,25.820145,10.151509,14.21676,16.848206,38.132046,53.789066,186.88535,22.939625,83.395706,55.94945,201.19502,105.24061,,55.63585,,56.79735,64.056725,44.636444,75.61365,83.963455,31.128199,64.69555,15.238879,21.017342,87.368034,816.5345,12.990216,1232.247,2018-09-28
6,36.529533,110.710304,19.96434,225.36362,304.5638,1659.9181,3.4373035,128.03464,122.36939,29.946512,18.150019,58.05748,43.50912,69.00275,102.54102,102.81294,152.73514,74.86061,18.39987,118.85694,130.50676,114.04149,72.46987,24.179285,43.044567,15.65875,50.477375,125.59858,445.96844,22.321083,84.049644,19.431807,56.833782,89.32965,45.797874,2.6468046,15.20553,36.80146,36.55841,164.97208,102.11046,25.085724,93.11405,26.091766,136.81578,12.83519,52.267593,37.662582,146.95657,43.15314,115.854355,90.19077,24.27141,129.22435,31.906687,13.341663,40.606716,87.67541,16.633173,105.124374,5.206455,65.42231,97.91817,58.873272,209.50093,17.443304,5.853336,90.07747,32.60918,89.37497,12.304923,70.906265,110.21485,22.604347,8.996417,14.486044,15.538463,37.991165,50.09214,170.9999,22.9216,76.36757,47.123547,181.60524,94.68333,,54.046486,,50.579346,52.686825,43.0559,79.4268,84.91565,24.972422,58.9186,13.528617,19.794382,73.80688,647.0848,11.874363,1116.7794,2018-10-31
7,38.45121,107.13349,21.257994,235.39476,285.94974,1528.5375,3.4160638,122.62267,116.67836,27.649546,17.144686,59.28461,43.04814,71.78465,103.31781,104.64254,159.87369,70.25611,19.347342,115.82918,130.31169,108.15251,72.78103,24.909498,42.56128,17.16491,48.66411,120.01849,434.784,22.894093,84.058235,18.002775,60.37157,90.36486,44.384197,2.958569,14.639993,36.752834,36.893265,165.53494,103.532936,24.360357,90.01388,23.305147,126.981834,12.418518,50.24359,37.064205,139.83287,40.135998,134.9076,91.508446,23.37489,124.94378,30.236736,14.062545,40.69353,88.58724,16.428947,94.88255,4.707524,61.25472,95.13164,55.667072,194.40732,16.434608,5.5253797,81.45407,26.99284,87.29647,11.933915,74.79643,109.87971,22.101519,8.718325,14.860781,15.587134,38.13418,48.27914,168.81848,25.707735,70.53917,43.387817,171.92082,94.387184,,55.253796,,43.365173,53.374264,42.53863,97.26027,88.30783,22.661982,53.04591,13.196373,20.822077,76.58539,517.4948,12.096959,1101.9056,2018-11-30
8,35.82632,95.978874,20.525259,230.00179,295.16135,1383.2115,3.4064949,116.6013,99.225426,26.406765,15.954221,57.248955,42.73095,64.79374,98.88248,99.1111,163.8134,62.358833,19.3437,113.11469,117.224846,99.819855,68.26892,24.326233,41.382034,16.181288,45.828888,118.544655,470.52057,21.171139,81.5066,17.044367,59.055134,86.49074,42.4223,2.926464,14.272227,31.802433,34.654655,159.58376,102.31193,21.557522,86.97085,21.220327,126.26092,10.779905,45.125843,33.339973,129.17595,38.51417,140.20735,88.251175,21.099068,120.488014,29.327515,14.317953,37.385914,81.66665,15.77547,85.69052,4.5281577,56.357292,83.40423,52.79067,189.19131,15.769754,4.708635,80.56922,26.589668,82.32966,11.820171,70.315155,112.7042,20.342354,8.887991,13.180519,15.613541,36.706547,44.92579,156.79448,25.235039,65.731125,39.85021,154.7825,90.53749,,54.18531,,37.266693,48.24093,39.78162,97.39638,80.55698,20.736742,67.21722,12.288862,20.542404,65.959755,543.0534,10.757042,1047.8456,2018-12-31
9,35.479153,114.99744,21.136028,241.07924,320.9991,1492.8323,3.577433,110.91251,110.70597,28.800997,17.73016,61.15908,40.963966,68.020836,102.40991,108.82414,166.38025,70.96978,18.923248,116.46617,139.78029,109.09954,71.233696,25.519285,48.70925,15.570895,48.31912,125.70315,502.00934,22.765406,86.79311,19.833672,62.42128,86.99966,43.63752,3.083198,15.909393,31.14179,38.642513,172.46173,104.417946,23.230125,94.38924,22.888348,126.96534,11.427453,47.005287,34.561195,147.10307,41.324863,114.85973,89.937126,22.033596,131.38303,31.072945,16.047087,37.43078,93.60897,16.557703,95.14655,4.6204066,59.39201,93.99909,55.054646,191.85364,15.656956,5.1313963,88.927376,28.89279,88.21595,14.193956,72.863075,110.52029,22.260529,9.007483,12.8342285,17.249361,40.665627,46.563522,175.81229,26.414299,70.79766,42.283527,180.33324,86.47183,,53.356422,,40.34434,53.723606,42.36385,106.13912,80.634285,23.172752,63.56873,12.621951,22.17447,76.43164,743.20337,11.832504,1116.5835,2019-01-31
